"Seed","CC_Size","TA_CC","TA_HC","TA_HC_Prop","TA_HC_IPF","TA_HC_Both"
6,100,-13.927,-14.6201,-15.828154732644,-15.1713,-16.2954319407986
7,900,-14.7161111111111,-14.7567,-14.7342649372927,-14.4488,-14.3719228624571
7,800,-14.658,-14.781,-14.799108844107,-14.6871,-14.4745695846125
7,700,-14.5832857142857,-14.763,-14.7932872160738,-14.6391,-14.6258844423062
7,600,-14.509,-14.8081,-14.7058998174096,-14.8104,-14.6998063693648
7,500,-14.4324,-14.8142,-14.6108556099161,-15.003,-14.5082597007708
7,400,-14.39075,-14.8359,-14.6684133098297,-14.8018,-14.8878656138977
7,300,-14.5993333333333,-15.0294,-14.8331259184268,-15.2374,-14.9711539159301
7,200,-14.824,-15.1329,-14.8805248069128,-15.3546,-15.1814020933694
7,100,-14.749,-15.1469,-14.8660735450295,-15.5297,-14.9448057381101
8,900,-14.8138888888889,-14.7214,-14.6913815052456,-15.0577,-14.8299114630607
8,800,-14.8245,-14.6546,-14.6755295383836,-14.9843,-15.061253711207
8,700,-14.8364285714286,-14.6162,-14.7532031752501,-15.0923,-14.8035511259266
8,600,-14.7903333333333,-14.6016,-14.9213475927113,-14.9588,-15.0064414362824
8,500,-14.7918,-14.5928,-14.9466758050518,-14.9428,-14.9061739675931
8,400,-14.8705,-14.6244,-15.1345027123662,-15.1596,-15.0866667712696
8,300,-14.6253333333333,-14.4565,-15.0394907009208,-14.914,-15.1822266899561
8,200,-14.6995,-14.3562,-15.1388856128538,-14.757,-15.5000097182291
8,100,-14.972,-14.3384,-15.2139287634218,-14.772,-15.1461865189284
9,900,-14.5864444444444,-14.6104,-14.7647114611453,-15.0167,-15.0684366158075
9,800,-14.599625,-14.5912,-14.6904276943291,-15.2288,-15.0805679521826
9,700,-14.6427142857143,-14.6228,-14.8829898768598,-15.3083,-15.0743245114993
9,600,-14.6483333333333,-14.6089,-14.9531465254083,-15.0479,-15.2688486587636
9,500,-14.5944,-14.6059,-15.125558774589,-15.0516,-14.9448396799308
9,400,-14.58025,-14.5692,-15.1666996665145,-15.3067,-15.1917435179295
9,300,-14.5276666666667,-14.5429,-15.1953869278943,-15.1907,-15.6607319013439
9,200,-14.578,-14.5099,-15.4099782723648,-15.1093,-15.3082575277718
9,100,-14.711,-14.503,-15.5962254462668,-15.2917,-15.9440949601736
10,900,-15.5163333333333,-15.3605,-15.4551936529064,-15.7164,-15.5461019880179
10,800,-15.49675,-15.2031,-15.4576480956648,-15.6805,-15.5022399233236
10,700,-15.4707142857143,-14.9789,-15.123609707786,-15.6772,-15.4319451069001
10,600,-15.5028333333333,-14.8013,-15.0243116968598,-15.6708,-15.4931686858034
10,500,-15.4654,-14.5395,-15.0523895527393,-15.2428,-15.6848982592376
10,400,-15.426,-14.4408,-15.1009307309165,-15.2084,-15.7956299064343
10,300,-15.4023333333333,-14.2392,-14.9419623354253,-15.2576,-15.6413381496902
10,200,-15.3495,-14.0327,-14.8468110337726,-14.9527,-15.5069419783741
10,100,-15.567,-13.8482,-14.7069867618418,-15.0484,-15.2644498532604
11,900,-14.7841111111111,-14.7987,-14.8881402189412,-14.6777,-14.9797896783105
11,800,-14.711375,-14.7113,-14.8082558564438,-14.6505,-14.6932117144244
11,700,-14.6841428571429,-14.7033,-14.8771621911217,-14.882,-14.6166970642707
11,600,-14.7345,-14.7295,-14.9786283471044,-14.8999,-14.5043581087837
11,500,-14.678,-14.7386,-14.9784072817676,-15.1922,-14.5898504855789
11,400,-14.70675,-14.781,-14.9916715110673,-15.0507,-15.1427543137591
11,300,-14.788,-14.9082,-15.1538132517801,-15.4222,-15.0368573292537
11,200,-14.863,-14.8692,-15.201438944429,-15.4616,-15.0532430246157
11,100,-14.724,-14.8235,-15.3527035519254,-15.7447,-15.5352713824131
12,900,-15.0353333333333,-14.969,-15.0849885296844,-15.1503,-15.4877159989856
12,800,-15.015,-14.8917,-15.020771442366,-15.1112,-15.3470481419611
12,700,-15.0785714285714,-14.8508,-15.2884515162176,-15.3448,-15.457844552535
12,600,-15.1078333333333,-14.8041,-15.1997676963311,-15.1346,-15.6961984390538
